p_used,rbo_globals,rbo_locals,rbo_ids
0.95,0.9314343418378184,0.7308679683682591,0.6839487053474004
0.95,0.9399823674642374,0.7107355560596101,0.3567016736831794
0.95,0.9750382318858226,0.835270076944804,0.7642303439724878
0.95,0.9326041815869136,0.7373399621110617,0.6146106672545472
0.95,0.9556893357403924,0.8090654486920542,0.4962720139885038
0.95,0.8879496389639394,0.4753245136044963,0.3819835564566754
0.95,0.9694715036796584,0.7985274922359721,0.7058343552162492
0.95,0.8869554583293853,0.6631625115186579,0.3641718479297251
0.95,0.977634728399611,0.8813223094923059,0.904494314840975
0.95,0.9456002406837944,0.7312359520634082,0.4170695281041333
0.95,0.9586566901076958,0.7552565545884339,0.449182548796709
0.95,0.9602185358961132,0.7875185649219306,0.3077167905505022
0.95,0.927488273625126,0.705918933854016,0.3871244529557142
0.95,0.9642719817019114,0.7522781911213733,0.5870286786108719
0.95,0.9759311918609794,0.8857173572459724,0.8747688827462572
0.95,0.977487347489101,0.8070894558802622,0.2291287726141771
0.95,0.964734560451912,0.6410384220823512,0.7098529508862014
0.95,0.9854914151484072,0.8813669304563361,0.817435969367056
0.95,0.9748453692808036,0.8423560225479441,0.5945343983610433
0.95,0.9474453244216124,0.7749615671314736,0.7493725654452676
0.95,0.8946940654696901,0.5902300339099419,0.1323178078110954
0.95,0.9097723593953818,0.7364006914045519,0.4995624177421802
0.95,0.9873413478559824,0.8769895595490752,0.7878023156126859
0.95,0.9487162295923908,0.7507062310328434,0.6850273588696185
0.95,0.9218811024934424,0.6531657496971321,0.8088171492480783
0.95,0.9639636199921292,0.6493676367228824,0.6252296806126032
0.95,0.8982571612485747,0.6433050428220302,0.409224971591789
0.95,0.9862947479673289,0.8611671279512836,0.5018136557805932
0.95,0.9951487516096634,0.9610140419404064,0.9643438512304784
0.95,0.9702145419343772,0.7611620117036555,0.3892869318330052
0.95,0.9626198098209986,0.8460130402059696,0.6406291298379073
0.95,0.9582879509732836,0.7538643268716901,0.2953393519902765
0.95,0.9632461464168204,0.7868172673692038,0.7067895349167271
0.95,0.9270236350662244,0.7317138087468678,0.5148247357013489
0.95,0.9669464578623124,0.7634976606296313,0.2636807755184391
0.95,0.9921409541504596,0.8953186307646156,0.903249161284082
0.95,0.9481186714779176,0.7975341121990114,0.7193797737305399
