p_used,rbo_globals_0,rbo_locals_0,rbo_globals_1,rbo_locals_1,rbo_ids
0.95,0.8081912817259247,0.5864672554829043,0.8275435220393336,0.7385524191211059,0.41843435574139604
0.95,0.8874910668325902,0.5086527569207757,0.8880791506220596,0.7817433986293568,0.2217066844576015
0.95,0.8846754204715714,0.5032607117033386,0.8836791689156651,0.7692257225536503,0.26292009080133144
0.95,0.8841395870508644,0.4182753338702984,0.8877658188114955,0.7801028804753664,0.3212000855062124
0.95,0.9014770798849732,0.6835442379788979,0.9133236301779563,0.8603249673694472,0.2726566958205692
0.95,0.8905605323604328,0.5406337164634908,0.8879306640361267,0.7809288287710039,0.4151879791900709
0.95,0.8805100485911473,0.41256547308388297,0.8819366097289155,0.7624078578138143,0.5119132765024474
0.95,0.8923008542912444,0.6835972908272397,0.888556951518333,0.7963906054667372,0.5269513786011827
0.95,0.8630913418259103,0.44014170832659105,0.9075093680986308,0.8061038341445541,0.12147684023748993
0.95,0.8706871024371472,0.5726101512524567,0.8801960462575242,0.780002551702834,0.25914503912387593
0.95,0.8649292763185066,0.6343258299102416,0.8713000353519884,0.7842858927506751,0.6722271686196339
0.95,0.8867769861868907,0.5672889121438094,0.8974668904931082,0.812133944666828,0.279602940879191
0.95,0.8959806687607587,0.5962936555220997,0.8809756853598231,0.7526210939649302,0.23586840527477876
0.95,0.871285166946377,0.4654724881856593,0.874236525187959,0.7437455652714063,0.6469095495396529
0.95,0.8817435232152258,0.41001447103376326,0.8852064905476449,0.7719574989425824,0.36497551360140695
0.95,0.9024999798492362,0.7331602354307987,0.9027879055707637,0.8371374443049651,0.2655894583579705
0.95,0.8541011952707483,0.5018656348480598,0.8695021509705798,0.7236426845539744,0.6103813398973662
0.95,0.8924314309656943,0.7159702558690582,0.8682294677430157,0.7567135348408918,0.4130257280868689
0.95,0.8795347600759279,0.2759884329611535,0.8802950030151584,0.7544802523375541,0.5332398068317855
0.95,0.8122597012951948,0.35493180614924075,0.8331246350914359,0.6648538755391192,0.47602393832923917
0.95,0.8866262906252169,0.5782850933512071,0.8938471824806311,0.790373698366661,0.6255566422320927
0.95,0.8865337536672854,0.5842020351949121,0.8934501201656555,0.8022777538626876,0.3973316553665853
0.95,0.8888073945068498,0.5091615854966701,0.8917937350611702,0.7949639935942893,0.32464873933193267
0.95,0.8909978985297323,0.5704492713367751,0.8934398173341023,0.8002388390967312,0.3332632583912857
0.95,0.8769725263239172,0.3358488148384495,0.8792624480755629,0.7530531935650525,0.4403131678466836
0.95,0.9202584595796723,0.6654788339220973,0.9081897218165874,0.827861405225282,0.18526355861338825
0.95,0.9207306246451913,0.6927237134258991,0.9307433428560784,0.8839938172164009,0.13155838202910253
0.95,0.8562445837438627,0.3680991490938359,0.8655680606166253,0.7237861603508244,0.5805304561980316
0.95,0.877116838849171,0.2701674215592834,0.8786308515387895,0.7493409519486031,0.4741464613729143
0.95,0.8764692623810326,0.41259647563784657,0.8864463280798994,0.7618929536550542,0.3769023195217247
0.95,0.8686984604365975,0.38659146288510604,0.8762103085654859,0.7491544732155808,0.3819796974170551
0.95,0.8697097635877645,0.6973134519043773,0.8722213904246267,0.7924057077580178,0.24649426294459492
0.95,0.8968628007722929,0.503632209023791,0.8651681288920856,0.7068654270683546,0.42289716612667466
0.95,0.8491465980297099,0.502099567321178,0.8559182826016529,0.7343644754769576,0.34060744498033607
0.95,0.8849001619475233,0.48835012289639707,0.8837405238706484,0.7693639386538794,0.5673247948068316
0.95,0.8870153003541744,0.588031168669989,0.8960566222328983,0.8087660381864364,0.3722710309899198
0.95,0.8825409965881801,0.3547646447135999,0.8813048906995026,0.7578216472417121,0.37977560491258033
0.95,0.8434509633886812,0.3709132755483213,0.8612169399228978,0.722308735109937,0.25947909189203944
0.95,0.8744747091100117,0.4078819258881165,0.8796276158647287,0.7577013763024695,0.3030036452964941
0.95,0.8373833971212618,0.3735611178150068,0.8497220960101245,0.7089251380693556,0.1965230185782288
0.95,0.8847241552200669,0.3914768061984636,0.8839209987814775,0.7671112245382866,0.23120961374263269
0.95,0.8746839798792011,0.471204154031789,0.8760997898514868,0.7510264498471036,0.26954637196330217
0.95,0.8822652600807738,0.39250243141931124,0.881704856091984,0.758004831369179,0.4117030977917557
0.95,0.9021172512961101,0.5298340644377398,0.8954941771738534,0.7990622128881202,0.3815655302289736
